% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
0045, 101.60,  83.31,  1.02,  1.02, 0.600, 0.250, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0046, 103.63,  83.31,  1.02,  1.02, 0.600, 0.200, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0047, 105.66,  83.31,  1.02,  1.02, 0.600, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0048, 107.69,  83.31,  1.02,  1.02, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0049, 109.72,  83.31,  1.02,  1.02, 0.600, 0.100, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0050, 111.76,  83.31,  1.02,  1.02, 0.600, 0.050, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0051, 113.79,  83.31,  1.02,  1.02, 0.600, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0052, 115.82,  83.31,  1.02,  1.02, 0.550, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0053, 117.85,  83.31,  1.02,  1.02, 0.550, 0.400, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0054, 119.88,  83.31,  1.02,  1.02, 0.550, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0055, 121.92,  83.31,  1.02,  1.02, 0.550, 0.300, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0056, 123.95,  83.31,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0057, 125.98,  83.31,  1.02,  1.02, 0.550, 0.250, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0058, 128.01,  83.31,  1.02,  1.02, 0.550, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0059, 130.04,  83.31,  1.02,  1.02, 0.550, 0.150, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0060, 132.08,  83.31,  1.02,  1.02, 0.550, 0.100, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0061, 134.11,  83.31,  1.02,  1.02, 0.550, 0.050, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0062, 136.14,  83.31,  1.02,  1.02, 0.550, 0.000, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0063, 138.17,  83.31,  1.02,  1.02, 0.500, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0064, 140.20,  83.31,  1.02,  1.02, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2 
0065,  12.19,  81.28,  1.02,  1.02, 0.500, 0.450, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0066,  14.22,  81.28,  1.02,  1.02, 0.500, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0067,  16.25,  81.28,  1.02,  1.02, 0.500, 0.350, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0068,  18.28,  81.28,  1.02,  1.02, 0.500, 0.300, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0069,  20.32,  81.28,  1.02,  1.02, 0.500, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0070,  22.35,  81.28,  1.02,  1.02, 0.500, 0.200, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0071,  24.38,  81.28,  1.02,  1.02, 0.500, 0.150, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0072,  26.41,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 3 
0073,  28.44,  81.28,  1.02,  1.02, 0.500, 0.100, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0074,  30.48,  81.28,  1.02,  1.02, 0.500, 0.050, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0075,  32.51,  81.28,  1.02,  1.02, 0.500, 0.000, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0076,  34.54,  81.28,  1.02,  1.02, 0.450, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0077,  36.57,  81.28,  1.02,  1.02, 0.450, 0.500, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0078,  38.60,  81.28,  1.02,  1.02, 0.450, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0079,  40.64,  81.28,  1.02,  1.02, 0.450, 0.400, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0080,  42.67,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0081,  44.70,  81.28,  1.02,  1.02, 0.450, 0.350, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0082,  46.73,  81.28,  1.02,  1.02, 0.450, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0083,  48.76,  81.28,  1.02,  1.02, 0.450, 0.250, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0084,  50.80,  81.28,  1.02,  1.02, 0.450, 0.200, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0085,  52.83,  81.28,  1.02,  1.02, 0.450, 0.150, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0086,  54.86,  81.28,  1.02,  1.02, 0.450, 0.100, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0087,  56.89,  81.28,  1.02,  1.02, 0.450, 0.050, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0088,  58.92,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 3 
0089,  60.96,  81.28,  1.02,  1.02, 0.450, 0.000, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0090,  62.99,  81.28,  1.02,  1.02, 0.400, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0091,  65.02,  81.28,  1.02,  1.02, 0.400, 0.550, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0092,  67.05,  81.28,  1.02,  1.02, 0.400, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0093,  69.08,  81.28,  1.02,  1.02, 0.400, 0.450, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
