% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
0541,  69.08,  67.06,  1.02,  1.02, 0.550, 0.150, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0542,  71.12,  67.06,  1.02,  1.02, 0.550, 0.100, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0543,  73.15,  67.06,  1.02,  1.02, 0.550, 0.050, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0544,  75.18,  67.06,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 3 
0545,  77.21,  67.06,  1.02,  1.02, 0.550, 0.000, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0546,  79.24,  67.06,  1.02,  1.02, 0.500, 0.400, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0547,  81.28,  67.06,  1.02,  1.02, 0.500, 0.350, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0548,  83.31,  67.06,  1.02,  1.02, 0.500, 0.300, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0549,  85.34,  67.06,  1.02,  1.02, 0.500, 0.250, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0550,  87.37,  67.06,  1.02,  1.02, 0.500, 0.200, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0551,  89.40,  67.06,  1.02,  1.02, 0.500, 0.150, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0552,  91.44,  67.06,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0553,  93.47,  67.06,  1.02,  1.02, 0.500, 0.100, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0554,  95.50,  67.06,  1.02,  1.02, 0.500, 0.050, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0555,  97.53,  67.06,  1.02,  1.02, 0.500, 0.000, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0556,  99.56,  67.06,  1.02,  1.02, 0.450, 0.450, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0557, 101.60,  67.06,  1.02,  1.02, 0.450, 0.400, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0558, 103.63,  67.06,  1.02,  1.02, 0.450, 0.350, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0559, 105.66,  67.06,  1.02,  1.02, 0.450, 0.300, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0560, 107.69,  67.06,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 3 
0561, 109.72,  67.06,  1.02,  1.02, 0.450, 0.250, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0562, 111.76,  67.06,  1.02,  1.02, 0.450, 0.200, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0563, 113.79,  67.06,  1.02,  1.02, 0.450, 0.150, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0564, 115.82,  67.06,  1.02,  1.02, 0.450, 0.100, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0565, 117.85,  67.06,  1.02,  1.02, 0.450, 0.050, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0566, 119.88,  67.06,  1.02,  1.02, 0.450, 0.000, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0567, 121.92,  67.06,  1.02,  1.02, 0.400, 0.500, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0568, 123.95,  67.06,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0569, 125.98,  67.06,  1.02,  1.02, 0.400, 0.450, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0570, 128.01,  67.06,  1.02,  1.02, 0.400, 0.400, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0571, 130.04,  67.06,  1.02,  1.02, 0.400, 0.350, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0572, 132.08,  67.06,  1.02,  1.02, 0.400, 0.300, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0573, 134.11,  67.06,  1.02,  1.02, 0.400, 0.250, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0574, 136.14,  67.06,  1.02,  1.02, 0.400, 0.200, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0575, 138.17,  67.06,  1.02,  1.02, 0.400, 0.150, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0576, 140.20,  67.06,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0577,  12.19,  65.02,  1.02,  1.02, 0.400, 0.100, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0578,  14.22,  65.02,  1.02,  1.02, 0.400, 0.050, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0579,  16.25,  65.02,  1.02,  1.02, 0.400, 0.000, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0580,  18.28,  65.02,  1.02,  1.02, 0.350, 0.550, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0581,  20.32,  65.02,  1.02,  1.02, 0.350, 0.500, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0582,  22.35,  65.02,  1.02,  1.02, 0.350, 0.450, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0583,  24.38,  65.02,  1.02,  1.02, 0.350, 0.400, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0584,  26.41,  65.02,  1.02,  1.02, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0585,  28.44,  65.02,  1.02,  1.02, 0.350, 0.350, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0586,  30.48,  65.02,  1.02,  1.02, 0.350, 0.300, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0587,  32.51,  65.02,  1.02,  1.02, 0.350, 0.250, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0588,  34.54,  65.02,  1.02,  1.02, 0.350, 0.200, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0589,  36.57,  65.02,  1.02,  1.02, 0.350, 0.150, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0590,  38.60,  65.02,  1.02,  1.02, 0.350, 0.100, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0591,  40.64,  65.02,  1.02,  1.02, 0.350, 0.050, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0592,  42.67,  65.02,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0593,  44.70,  65.02,  1.02,  1.02, 0.350, 0.000, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0594,  46.73,  65.02,  1.02,  1.02, 0.300, 0.600, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0595,  48.76,  65.02,  1.02,  1.02, 0.300, 0.550, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0596,  50.80,  65.02,  1.02,  1.02, 0.300, 0.500, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0597,  52.83,  65.02,  1.02,  1.02, 0.300, 0.450, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0598,  54.86,  65.02,  1.02,  1.02, 0.300, 0.400, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0599,  56.89,  65.02,  1.02,  1.02, 0.300, 0.350, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0600,  58.92,  65.02,  1.02,  1.02, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0601,  60.96,  65.02,  1.02,  1.02, 0.300, 0.300, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0602,  62.99,  65.02,  1.02,  1.02, 0.300, 0.250, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0603,  65.02,  65.02,  1.02,  1.02, 0.300, 0.200, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0604,  67.05,  65.02,  1.02,  1.02, 0.300, 0.150, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0605,  69.08,  65.02,  1.02,  1.02, 0.300, 0.100, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0606,  71.12,  65.02,  1.02,  1.02, 0.300, 0.050, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0607,  73.15,  65.02,  1.02,  1.02, 0.300, 0.000, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0608,  75.18,  65.02,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0609,  77.21,  65.02,  1.02,  1.02, 0.250, 0.650, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0610,  79.24,  65.02,  1.02,  1.02, 0.250, 0.600, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0611,  81.28,  65.02,  1.02,  1.02, 0.250, 0.550, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0612,  83.31,  65.02,  1.02,  1.02, 0.250, 0.500, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0613,  85.34,  65.02,  1.02,  1.02, 0.250, 0.450, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0614,  87.37,  65.02,  1.02,  1.02, 0.250, 0.400, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0615,  89.40,  65.02,  1.02,  1.02, 0.250, 0.350, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0616,  91.44,  65.02,  1.02,  1.02, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2 
0617,  93.47,  65.02,  1.02,  1.02, 0.250, 0.300, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0618,  95.50,  65.02,  1.02,  1.02, 0.250, 0.250, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0619,  97.53,  65.02,  1.02,  1.02, 0.250, 0.200, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0620,  99.56,  65.02,  1.02,  1.02, 0.250, 0.150, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0621, 101.60,  65.02,  1.02,  1.02, 0.250, 0.100, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0622, 103.63,  65.02,  1.02,  1.02, 0.250, 0.050, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0623, 105.66,  65.02,  1.02,  1.02, 0.250, 0.000, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0624, 107.69,  65.02,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0625, 109.72,  65.02,  1.02,  1.02, 0.200, 0.700, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0626, 111.76,  65.02,  1.02,  1.02, 0.200, 0.650, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0627, 113.79,  65.02,  1.02,  1.02, 0.200, 0.600, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0628, 115.82,  65.02,  1.02,  1.02, 0.200, 0.550, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0629, 117.85,  65.02,  1.02,  1.02, 0.200, 0.500, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0630, 119.88,  65.02,  1.02,  1.02, 0.200, 0.450, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0631, 121.92,  65.02,  1.02,  1.02, 0.200, 0.400, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0632, 123.95,  65.02,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 3 
0633, 125.98,  65.02,  1.02,  1.02, 0.200, 0.350, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0634, 128.01,  65.02,  1.02,  1.02, 0.200, 0.300, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0635, 130.04,  65.02,  1.02,  1.02, 0.200, 0.250, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0636, 132.08,  65.02,  1.02,  1.02, 0.200, 0.200, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0637, 134.11,  65.02,  1.02,  1.02, 0.200, 0.150, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0638, 136.14,  65.02,  1.02,  1.02, 0.200, 0.100, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0639, 138.17,  65.02,  1.02,  1.02, 0.200, 0.050, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0640, 140.20,  65.02,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0641,  12.19,  62.99,  1.02,  1.02, 0.200, 0.000, 0.700, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0642,  14.22,  62.99,  1.02,  1.02, 0.150, 0.750, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0643,  16.25,  62.99,  1.02,  1.02, 0.150, 0.700, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0644,  18.28,  62.99,  1.02,  1.02, 0.150, 0.650, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0645,  20.32,  62.99,  1.02,  1.02, 0.150, 0.600, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0646,  22.35,  62.99,  1.02,  1.02, 0.150, 0.550, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0647,  24.38,  62.99,  1.02,  1.02, 0.150, 0.500, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0648,  26.41,  62.99,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0649,  28.44,  62.99,  1.02,  1.02, 0.150, 0.450, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0650,  30.48,  62.99,  1.02,  1.02, 0.150, 0.400, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0651,  32.51,  62.99,  1.02,  1.02, 0.150, 0.350, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0652,  34.54,  62.99,  1.02,  1.02, 0.150, 0.300, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0653,  36.57,  62.99,  1.02,  1.02, 0.150, 0.250, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0654,  38.60,  62.99,  1.02,  1.02, 0.150, 0.200, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0655,  40.64,  62.99,  1.02,  1.02, 0.150, 0.150, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0656,  42.67,  62.99,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 3 
0657,  44.70,  62.99,  1.02,  1.02, 0.150, 0.100, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0658,  46.73,  62.99,  1.02,  1.02, 0.150, 0.050, 0.700, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0659,  48.76,  62.99,  1.02,  1.02, 0.150, 0.000, 0.750, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0660,  50.80,  62.99,  1.02,  1.02, 0.100, 0.800, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0661,  52.83,  62.99,  1.02,  1.02, 0.100, 0.750, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0662,  54.86,  62.99,  1.02,  1.02, 0.100, 0.700, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0663,  56.89,  62.99,  1.02,  1.02, 0.100, 0.650, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0664,  58.92,  62.99,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0665,  60.96,  62.99,  1.02,  1.02, 0.100, 0.600, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0666,  62.99,  62.99,  1.02,  1.02, 0.100, 0.550, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0667,  65.02,  62.99,  1.02,  1.02, 0.100, 0.500, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0668,  67.05,  62.99,  1.02,  1.02, 0.100, 0.450, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0669,  69.08,  62.99,  1.02,  1.02, 0.100, 0.400, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0670,  71.12,  62.99,  1.02,  1.02, 0.100, 0.350, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0671,  73.15,  62.99,  1.02,  1.02, 0.100, 0.300, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0672,  75.18,  62.99,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 3 
0673,  77.21,  62.99,  1.02,  1.02, 0.100, 0.250, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0674,  79.24,  62.99,  1.02,  1.02, 0.100, 0.200, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0675,  81.28,  62.99,  1.02,  1.02, 0.100, 0.150, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0676,  83.31,  62.99,  1.02,  1.02, 0.100, 0.100, 0.700, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0677,  85.34,  62.99,  1.02,  1.02, 0.100, 0.050, 0.750, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0678,  87.37,  62.99,  1.02,  1.02, 0.100, 0.000, 0.800, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0679,  89.40,  62.99,  1.02,  1.02, 0.050, 0.850, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0680,  91.44,  62.99,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0681,  93.47,  62.99,  1.02,  1.02, 0.050, 0.800, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0682,  95.50,  62.99,  1.02,  1.02, 0.050, 0.750, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0683,  97.53,  62.99,  1.02,  1.02, 0.050, 0.700, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0684,  99.56,  62.99,  1.02,  1.02, 0.050, 0.650, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0685, 101.60,  62.99,  1.02,  1.02, 0.050, 0.600, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0686, 103.63,  62.99,  1.02,  1.02, 0.050, 0.550, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0687, 105.66,  62.99,  1.02,  1.02, 0.050, 0.500, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0688, 107.69,  62.99,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0689, 109.72,  62.99,  1.02,  1.02, 0.050, 0.450, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0690, 111.76,  62.99,  1.02,  1.02, 0.050, 0.400, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0691, 113.79,  62.99,  1.02,  1.02, 0.050, 0.350, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0692, 115.82,  62.99,  1.02,  1.02, 0.050, 0.300, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0693, 117.85,  62.99,  1.02,  1.02, 0.050, 0.250, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0694, 119.88,  62.99,  1.02,  1.02, 0.050, 0.200, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0695, 121.92,  62.99,  1.02,  1.02, 0.050, 0.150, 0.700, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0696, 123.95,  62.99,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0697, 125.98,  62.99,  1.02,  1.02, 0.050, 0.100, 0.750, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0698, 128.01,  62.99,  1.02,  1.02, 0.050, 0.050, 0.800, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0699, 130.04,  62.99,  1.02,  1.02, 0.050, 0.000, 0.850, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0700, 132.08,  62.99,  1.02,  1.02, 0.000, 0.900, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0701, 134.11,  62.99,  1.02,  1.02, 0.000, 0.850, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0702, 136.14,  62.99,  1.02,  1.02, 0.000, 0.800, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0703, 138.17,  62.99,  1.02,  1.02, 0.000, 0.750, 0.150, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0704, 140.20,  62.99,  1.02,  1.02, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0705,  12.19,  60.96,  1.02,  1.02, 0.000, 0.700, 0.200, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0706,  14.22,  60.96,  1.02,  1.02, 0.000, 0.650, 0.250, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0707,  16.25,  60.96,  1.02,  1.02, 0.000, 0.600, 0.300, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0708,  18.28,  60.96,  1.02,  1.02, 0.000, 0.550, 0.350, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0709,  20.32,  60.96,  1.02,  1.02, 0.000, 0.500, 0.400, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0710,  22.35,  60.96,  1.02,  1.02, 0.000, 0.450, 0.450, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0711,  24.38,  60.96,  1.02,  1.02, 0.000, 0.400, 0.500, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0712,  26.41,  60.96,  1.02,  1.02, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0713,  28.44,  60.96,  1.02,  1.02, 0.000, 0.350, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0714,  30.48,  60.96,  1.02,  1.02, 0.000, 0.300, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0715,  32.51,  60.96,  1.02,  1.02, 0.000, 0.250, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0716,  34.54,  60.96,  1.02,  1.02, 0.000, 0.200, 0.700, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0717,  36.57,  60.96,  1.02,  1.02, 0.000, 0.150, 0.750, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0718,  38.60,  60.96,  1.02,  1.02, 0.000, 0.100, 0.800, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0719,  40.64,  60.96,  1.02,  1.02, 0.000, 0.050, 0.850, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0720,  42.67,  60.96,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0721,  44.70,  60.96,  1.02,  1.02, 0.000, 0.000, 0.900, 0.100, 0.000, 0.000, 0.000, 0.000, 0 
0722,  46.73,  60.96,  1.02,  1.02, 0.850, 0.000, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0723,  48.76,  60.96,  1.02,  1.02, 0.800, 0.050, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0724,  50.80,  60.96,  1.02,  1.02, 0.800, 0.000, 0.050, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0725,  52.83,  60.96,  1.02,  1.02, 0.750, 0.100, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0726,  54.86,  60.96,  1.02,  1.02, 0.750, 0.050, 0.050, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0727,  56.89,  60.96,  1.02,  1.02, 0.750, 0.000, 0.100, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0728,  58.92,  60.96,  1.02,  1.02, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2 
0729,  60.96,  60.96,  1.02,  1.02, 0.700, 0.150, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0730,  62.99,  60.96,  1.02,  1.02, 0.700, 0.100, 0.050, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0731,  65.02,  60.96,  1.02,  1.02, 0.700, 0.050, 0.100, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0732,  67.05,  60.96,  1.02,  1.02, 0.700, 0.000, 0.150, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0733,  69.08,  60.96,  1.02,  1.02, 0.650, 0.200, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0734,  71.12,  60.96,  1.02,  1.02, 0.650, 0.150, 0.050, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0735,  73.15,  60.96,  1.02,  1.02, 0.650, 0.100, 0.100, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0736,  75.18,  60.96,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0737,  77.21,  60.96,  1.02,  1.02, 0.650, 0.050, 0.150, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0738,  79.24,  60.96,  1.02,  1.02, 0.650, 0.000, 0.200, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0739,  81.28,  60.96,  1.02,  1.02, 0.600, 0.250, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0740,  83.31,  60.96,  1.02,  1.02, 0.600, 0.200, 0.050, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0741,  85.34,  60.96,  1.02,  1.02, 0.600, 0.150, 0.100, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0742,  87.37,  60.96,  1.02,  1.02, 0.600, 0.100, 0.150, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0743,  89.40,  60.96,  1.02,  1.02, 0.600, 0.050, 0.200, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
0744,  91.44,  60.96,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 3 
0745,  93.47,  60.96,  1.02,  1.02, 0.600, 0.000, 0.250, 0.150, 0.000, 0.000, 0.000, 0.000, 0 
